route,method,action,middleware,public,auth_mode,expected,actual_status,result,evidence
/,GET,Closure,web,True,noauth,2xx/4xx per public flag,200,PASS,"GET / -> 200 {""app"":""TOEFL House ERP v3"",""version"":""3.0"",""status"":""ok"",""message"":""API-only backend. Use \/api\/* "
/,GET,Closure,web,True,badauth,2xx/4xx per public flag,200,PASS,"GET / -> 200 {""app"":""TOEFL House ERP v3"",""version"":""3.0"",""status"":""ok"",""message"":""API-only backend. Use \/api\/* "
/,GET,Closure,web,True,admin,never 5xx,200,PASS,"GET / -> 200 {""app"":""TOEFL House ERP v3"",""version"":""3.0"",""status"":""ok"",""message"":""API-only backend. Use \/api\/* "
/,GET,Closure,web,True,limited,never 5xx,200,PASS,"GET / -> 200 {""app"":""TOEFL House ERP v3"",""version"":""3.0"",""status"":""ok"",""message"":""API-only backend. Use \/api\/* "
api/audit-logs,GET,App\Modules\PlatformServices\Http\Controllers\AuditLogController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"GET /api/audit-logs -> 401 {""message"":""Unauthenticated.""}"
api/audit-logs,GET,App\Modules\PlatformServices\Http\Controllers\AuditLogController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"GET /api/audit-logs -> 401 {""message"":""Unauthenticated.""}"
api/audit-logs,GET,App\Modules\PlatformServices\Http\Controllers\AuditLogController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,200,PASS,"GET /api/audit-logs -> 200 [{""id"":""afde18cf-53ba-498b-ab83-bbe53651a3bc"",""operator_id"":""5efbde29-2fbe-4943-9888-b53442742004"","""
api/audit-logs,GET,App\Modules\PlatformServices\Http\Controllers\AuditLogController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,200,PASS,GET /api/audit-logs -> 200 []
api/auth/login,POST,App\Modules\Iam\Http\Controllers\AuthController@login,"api,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default,App\Http\Middleware\ApiRateLimiter:auth",True,noauth,2xx/4xx per public flag,422,PASS,"POST /api/auth/login -> 422 {""message"":""The username field is required. (and 1 more error)"",""errors"":{""username"":[""The username "
api/auth/login,POST,App\Modules\Iam\Http\Controllers\AuthController@login,"api,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default,App\Http\Middleware\ApiRateLimiter:auth",True,badauth,2xx/4xx per public flag,422,PASS,"POST /api/auth/login -> 422 {""message"":""The username field is required. (and 1 more error)"",""errors"":{""username"":[""The username "
api/auth/login,POST,App\Modules\Iam\Http\Controllers\AuthController@login,"api,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default,App\Http\Middleware\ApiRateLimiter:auth",True,admin,never 5xx,422,PASS,"POST /api/auth/login -> 422 {""message"":""The username field is required. (and 1 more error)"",""errors"":{""username"":[""The username "
api/auth/login,POST,App\Modules\Iam\Http\Controllers\AuthController@login,"api,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default,App\Http\Middleware\ApiRateLimiter:auth",True,limited,never 5xx,422,PASS,"POST /api/auth/login -> 422 {""message"":""The username field is required. (and 1 more error)"",""errors"":{""username"":[""The username "
api/auth/me,GET,App\Modules\Iam\Http\Controllers\AuthController@me,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"GET /api/auth/me -> 401 {""message"":""Unauthenticated.""}"
